year,num_intro_changepoint,trade_quantity,num_intro_trade,n_regions,total_region_observations,decade
1948,1,,,1.0,1.0,1940
1949,1,,,1.0,1.0,1940
1950,0,,,,,1950
1951,1,,,1.0,1.0,1950
1952,2,,,2.0,2.0,1950
1953,4,,,3.0,4.0,1950
1954,3,,,1.0,3.0,1950
1955,2,,,1.0,2.0,1950
1956,2,,,1.0,2.0,1950
1957,0,,,,,1950
1958,2,,,2.0,2.0,1950
1959,1,,,1.0,1.0,1950
1960,3,,,3.0,3.0,1960
1961,0,,,,,1960
1962,2,,,2.0,2.0,1960
1963,0,,,,,1960
1964,1,,,1.0,1.0,1960
1965,1,,,1.0,1.0,1960
1966,1,,,1.0,1.0,1960
1967,2,2955923.7,2.0,2.0,2.0,1960
1968,1,3113208.0,1.0,1.0,1.0,1960
1969,0,3204477.6,0.0,,,1960
1970,0,3427831.8,0.0,,,1970
1971,1,3459956.9,1.0,1.0,1.0,1970
1972,0,3565647.2,0.0,,,1970
1973,4,3742960.4,4.0,2.0,4.0,1970
1974,1,3800388.8,1.0,1.0,1.0,1970
1975,2,3576949.8,2.0,2.0,2.0,1970
1976,0,3958424.7,0.0,,,1970
1977,0,4199822.6,0.0,,,1970
1978,5,4512669.9,5.0,3.0,5.0,1970
1979,2,4697080.2,2.0,1.0,2.0,1970
1980,2,4670605.2,2.0,2.0,2.0,1980
1981,0,4753674.0,0.0,,,1980
1982,1,5159850.3,1.0,1.0,1.0,1980
1983,1,6269000.1,1.0,1.0,1.0,1980
1984,1,7119132.5,1.0,1.0,1.0,1980
1985,2,7671322.8,2.0,1.0,2.0,1980
1986,0,8084146.2,0.0,,,1980
1987,0,8400857.3,0.0,,,1980
1988,0,8374187.7,0.0,,,1980
1989,2,9139789.1,2.0,2.0,2.0,1980
1990,0,9532031.4,0.0,,,1990
1991,0,9760371.4,0.0,,,1990
1992,0,9991393.8,0.0,,,1990
1993,1,10729179.8,1.0,1.0,1.0,1990
1994,2,11772600.0,2.0,2.0,2.0,1990
1995,3,12684772.7,3.0,1.0,3.0,1990
1996,2,13878900.2,2.0,1.0,2.0,1990
1997,0,14236668.6,0.0,,,1990
1998,3,15075608.8,3.0,1.0,3.0,1990
1999,4,15881404.6,4.0,3.0,4.0,1990
2000,0,15672735.3,0.0,,,2000
2001,1,15622835.8,1.0,1.0,1.0,2000
2002,3,16493902.1,3.0,1.0,3.0,2000
2003,1,16966827.3,1.0,1.0,1.0,2000
2004,1,17409236.9,1.0,1.0,1.0,2000
2005,2,18092047.6,2.0,1.0,2.0,2000
2006,0,18653048.9,0.0,,,2000
2007,0,19895356.6,0.0,,,2000
2008,1,19336234.3,1.0,1.0,1.0,2000
2009,2,18988473.3,2.0,1.0,2.0,2000
2010,2,20751407.1,2.0,2.0,2.0,2010
2011,3,21210804.7,3.0,1.0,3.0,2010
2012,0,21883663.1,0.0,,,2010
2013,1,23100057.5,1.0,1.0,1.0,2010
2014,1,23842641.9,1.0,1.0,1.0,2010
2015,0,24560507.9,0.0,,,2010
2016,4,25892235.0,4.0,3.0,4.0,2010
2017,1,26738674.9,1.0,1.0,1.0,2010
2018,2,27486213.2,2.0,2.0,2.0,2010
2019,2,28001248.8,2.0,1.0,2.0,2010
2020,1,28270805.6,1.0,1.0,1.0,2020
2021,0,31049667.6,0.0,,,2020
2022,1,31705558.4,1.0,1.0,1.0,2020
2023,1,31899222.5,1.0,1.0,1.0,2020
2024,1,32662928.2,1.0,1.0,1.0,2020
2025,1,,,1.0,1.0,2020
